Currency,Strike,Total_GEX,Total_Abs_Gamma,Daily_Call_Settle,Daily_Call_OI,Daily_Put_Settle,Daily_Put_OI,Global_Call_Settle,Global_Call_OI,Global_Put_Settle,Global_Put_OI,R68_High,R68_Low,R95_High,R95_Low,Global_Month,Daily_Month
EUR,1.075,-1115555.208758968,8.924441670071745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1778955873248156,1.1675531306239029,1.183066815675272,1.1623819022734465,JUN26,MAY26
EUR,1.08,-589535296.3833665,4716.282371066932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1778955873248156,1.1675531306239029,1.183066815675272,1.1623819022734465,JUN26,MAY26
EUR,1.085,-2028196.4490302384,16.225571592241906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1778955873248156,1.1675531306239029,1.183066815675272,1.1623819022734465,JUN26,MAY26
EUR,1.09,-237534719.64327875,1900.2777571462298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1778955873248156,1.1675531306239029,1.183066815675272,1.1623819022734465,JUN26,MAY26
EUR,1.095,-16180637.09325825,129.445096746066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1778955873248156,1.1675531306239029,1.183066815675272,1.1623819022734465,JUN26,MAY26
EUR,1.1,-405607929.76628804,3244.8634381303045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1778955873248156,1.1675531306239029,1.183066815675272,1.1623819022734465,JUN26,MAY26
EUR,1.105,-367275261.50662583,2938.2020920530067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1778955873248156,1.1675531306239029,1.183066815675272,1.1623819022734465,JUN26,MAY26
EUR,1.11,-822226910.0972337,6577.81528077787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1778955873248156,1.1675531306239029,1.183066815675272,1.1623819022734465,JUN26,MAY26
EUR,1.115,-2672748.9093062007,21.381991274449607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1778955873248156,1.1675531306239029,1.183066815675272,1.1623819022734465,JUN26,MAY26
EUR,1.12,-353463261.0191685,2827.7060881533484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1778955873248156,1.1675531306239029,1.183066815675272,1.1623819022734465,JUN26,MAY26
